Part Name,Manufacturer Part Number:,Year,Make,Model,Fuel type,Body type,kW,HP,Engine capacity
2013 Alfa Romeo MiTo Dismantling cars 199B4.000,199B4.000,2013,Alfa Romeo,MiTo,Diesel,Hatchback,,,
2008 Alfa Romeo 147 Dashboard Side Air Vent Grill 225495,225495,2008,Alfa Romeo,147,Diesel,Hatchback,,115,1.9 (1910cm³)
2002 Alfa Romeo 156 Immobilizer Control Module Unit 60673131,60673131,2002,Alfa Romeo,156,Diesel,Saloon,110,150,1.9 (1910cm³)
2011 Alfa Romeo Giulietta Rear Bumper Holder Mounting Bracket 50513488,50513488,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2006 Alfa Romeo 159 Dismantling cars 939A1.000,939A1.000,2006,Alfa Romeo,159,Diesel,Saloon,,,
2009 Alfa Romeo MiTo Tailgate Boot Lid,,2009,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2011 Alfa Romeo Giulietta Glow Plug Relay 55203394,55203394,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2009 Alfa Romeo MiTo Ignition Coil CE20056,CE20056,2009,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2007 Alfa Romeo Brera Dismantling cars 939A3.000,939A3.000,2007,Alfa Romeo,Brera,Diesel,Hatchback,147,200,2.4 (2387cm³)
2012 Alfa Romeo Giulietta Accelerator Throttle Pedal 518346050,518346050,2012,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
1999 Alfa Romeo 166 Rear Door Exterior Handle,,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
2004 Alfa Romeo GT Air SRS Bag Control Module Unit 5WK43444,5WK43444,2004,Alfa Romeo,GT,Petrol,Coupe,121,165,2.0 (1970cm³)
2004 Alfa Romeo GT Fuse Relay Control Module Unit 51742419,51742419,2004,Alfa Romeo,GT,Petrol,Coupe,121,165,2.0 (1970cm³)
1999 Alfa Romeo 166 Rear Seat Belt 044047,044047,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
2010 Alfa Romeo MiTo Rear Seat Belt 615904100,615904100,2010,Alfa Romeo,MiTo,Diesel,Hatchback,,120,1.6 (1598cm³)
2005 Alfa Romeo 147 Other Engine Part,,2005,Alfa Romeo,147,Petrol,Hatchback,110,150,2.0 (1970cm³)
1999 Alfa Romeo 166 Steering Wheel Air SRS Bag 1560179990,1560179990,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
1999 Alfa Romeo 166 Front Seat Belt 043087,043087,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
1999 Alfa Romeo 166 Front Door Window Regulator Motor,,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
2011 Alfa Romeo Giulietta Engine Connecting Rod Conrod,,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2011 Alfa Romeo Giulietta Rear Door Exterior Handle 242708,242708,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2006 Alfa Romeo 159 Air SRS Bag Control Module Unit 50507543,50507543,2006,Alfa Romeo,159,Diesel,Saloon,,115,1.9 (1910cm³)
2007 Alfa Romeo 159 Dismantling cars 939A6.000,939A6.000,2007,Alfa Romeo,159,Petrol,Saloon,118,160,1.9 (1859cm³)
2011 Alfa Romeo Giulietta Headlight Level Height Adjustment Switch Button 156088499,156088499,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2011 Alfa Romeo Giulietta Exhaust Gas Pressure Sensor 55227306,55227306,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2009 Alfa Romeo MiTo Crankshaft Pulley -,-,2009,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2004 Alfa Romeo 147 EGR Valve 50109013,50109013,2004,Alfa Romeo,147,Diesel,Hatchback,103,140,1.9 (1910cm³)
2010 Alfa Romeo MiTo Other Control Module Unit 86262040,86262040,2010,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2012 Alfa Romeo Giulietta Engine Block 940A4000,940A4000,2012,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2005 Alfa Romeo 147 Crankshaft Pulley 390-440,390-440,2005,Alfa Romeo,147,Petrol,Hatchback,110,150,2.0 (1970cm³)
2010 Alfa Romeo MiTo Climate Control Module Unit 5.L08.000.70,5.L08.000.70,2010,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2007 Alfa Romeo 147 Dismantling cars 937A3.000,937A3.000,2007,Alfa Romeo,147,Diesel,Hatchback,,120,1.9 (1910cm³)
2012 Alfa Romeo Giulietta Rear Upper Control Arm Wishbone,,2012,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2011 Alfa Romeo Giulietta Tow Hook Eye Ring --,--,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2007 Alfa Romeo 159 ESP Acceleration Yaw Rate Sensor 51748607,51748607,2007,Alfa Romeo,159,Petrol,Saloon,118,160,1.9 (1859cm³)
2012 Alfa Romeo Giulietta Rear Wheel Bearing Hub,,2012,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2005 Alfa Romeo 147 A/C Air Conditioning Compressor Pump 60653652,60653652,2005,Alfa Romeo,147,Petrol,Hatchback,110,150,2.0 (1970cm³)
2010 Alfa Romeo MiTo Headlight Light Controller Switch Button B569,B569,2010,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2004 General Motors Alfa Romeo 156 Throttle Body 46817373,46817373,2004,Alfa Romeo,156,Diesel,Estate,120,163,2.4 (2387cm³)
2008 Alfa Romeo 159 Front Door Electric Window Regulator RA2266,RA2266,2008,Alfa Romeo,159,Diesel,Estate,110,150,1.9 (1910cm³)
2005 Alfa Romeo 147 Other Engine Part,,2005,Alfa Romeo,147,Petrol,Hatchback,110,150,2.0 (1970cm³)
2011 Alfa Romeo Giulietta Front Roof Reading Light 735244965,735244965,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2008 Alfa Romeo 159 Dismantling cars 939A3.000,939A3.000,2008,Alfa Romeo,159,Diesel,Saloon,147,200,2.4 (2387cm³)
2004 Alfa Romeo 147 Dismantling cars 182B9.000,182B9.000,2004,Alfa Romeo,147,Diesel,Hatchback,,101,1.9 (1910cm³)
2012 Alfa Romeo Giulietta Other Switch Button 156091264,156091264,2012,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2007 Alfa Romeo 147 Headlight Dust Trim Cover 89004031,89004031,2007,Alfa Romeo,147,Diesel,Hatchback,,120,1.9 (1910cm³)
2012 Alfa Romeo Giulietta Dashboard Display Screen 156086344,156086344,2012,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2010 Alfa Romeo MiTo Other Switch Button 156078266,156078266,2010,Alfa Romeo,MiTo,Diesel,Hatchback,,120,1.6 (1598cm³)
2016 Alfa Romeo Giulietta Engine Knock Sensor 0261231273,0261231273,2016,Alfa Romeo,Giulietta,Petrol,Hatchback,,116,1.4 (1368cm³)
2005 Alfa Romeo 147 Complete Clutch Kit 60603810,60603810,2005,Alfa Romeo,147,Petrol,Hatchback,110,150,2.0 (1970cm³)
2010 Alfa Romeo MiTo Front Door,,2010,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2011 Alfa Romeo Giulietta Front Bonnet Hood Hinge -,-,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
2006 Alfa Romeo 159 Engine Piston With Connecting Rod,,2006,Alfa Romeo,159,Diesel,Saloon,,120,1.9 (1910cm³)
2011 Alfa Romeo Giulietta Front Subframe,,2011,Alfa Romeo,Giulietta,Diesel,Hatchback,125,170,2.0 (1956cm³)
1999 Alfa Romeo 166 Rear Seat Belt Buckle 260199,260199,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
2007 Alfa Romeo 159 Passenger Air SRS Bag 30358150C,30358150C,2007,Alfa Romeo,159,Diesel,Saloon,,115,1.9 (1910cm³)
2010 Alfa Romeo MiTo Gear Shift Paddle Switch Button 156091264,156091264,2010,Alfa Romeo,MiTo,Petrol,Hatchback,,,1.4 (1368cm³)
2007 Alfa Romeo Brera Rear Brake Caliper,,2007,Alfa Romeo,Brera,Diesel,Hatchback,154,210,2.4 (2387cm³)
1999 Alfa Romeo 166 Rear Seat Belt 044047,044047,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
1999 Alfa Romeo 166 Rear Seat Belt Buckle 111298,111298,1999,Alfa Romeo,166,Petrol,Saloon,166,226,3.0 (2959cm³)
1997 Alfa Romeo 155 Dismantling cars AR67203,AR67203,1997,Alfa Romeo,155,Petrol,Saloon,137,186,2.0 (1995cm³)
2004 Alfa Romeo 156 Brake Vacuum Pump 46771105,46771105,2004,Alfa Romeo,156,Diesel,Estate,120,163,2.4 (2387cm³)
2001 Alfa Romeo 147 Headlight Level Height Adjustment Switch Button 735304164,735304164,2001,Alfa Romeo,147,Petrol,Hatchback,110,150,2.0 (1970cm³)
2008 Alfa Romeo 159 Front Brake Caliper,,2008,Alfa Romeo,159,Diesel,Estate,110,150,1.9 (1910cm³)
2007 Alfa Romeo 147 A/C Air Conditioning Compressor Pump 447220-8645,447220-8645,2007,Alfa Romeo,147,Diesel,Hatchback,,120,1.9 (1910cm³)
2003 Alfa Romeo 147 Engine Control Module Unit 55189421,55189421,2003,Alfa Romeo,147,Diesel,Hatchback,,115,1.9 (1910cm³)
